Timestamp,total-bitcoins
07/10/2020 7:03,18510025
07/10/2020 7:19,18510043.75
07/10/2020 7:38,18510062.5
07/10/2020 7:49,18510081.25
07/10/2020 8:26,18510100
07/10/2020 8:58,18510118.75
07/10/2020 9:25,18510137.5
07/10/2020 10:03,18510156.25
07/10/2020 10:19,18510175
07/10/2020 10:37,18510193.75
07/10/2020 11:09,18510212.5
07/10/2020 11:26,18510231.25
07/10/2020 11:39,18510250
07/10/2020 12:12,18510268.75
07/10/2020 12:52,18510287.5
07/10/2020 13:07,18510306.25
07/10/2020 13:30,18510325
07/10/2020 13:36,18510343.75
07/10/2020 13:56,18510362.5
07/10/2020 14:14,18510381.25
07/10/2020 14:29,18510400
07/10/2020 15:00,18510418.75
07/10/2020 15:44,18510437.5
07/10/2020 16:21,18510456.25
07/10/2020 16:32,18510475
07/10/2020 16:55,18510493.75
07/10/2020 17:13,18510512.5
07/10/2020 17:28,18510531.25
07/10/2020 18:21,18510550
07/10/2020 18:34,18510568.75
07/10/2020 18:51,18510587.5
07/10/2020 19:23,18510606.25
07/10/2020 20:14,18510625
07/10/2020 20:46,18510643.75
07/10/2020 21:13,18510662.5
07/10/2020 21:50,18510681.25
07/10/2020 22:30,18510700
07/10/2020 23:04,18510718.75
07/10/2020 23:36,18510737.5
08/10/2020 0:02,18510756.25
08/10/2020 1:05,18510775
08/10/2020 1:19,18510793.75
08/10/2020 1:47,18510812.5
08/10/2020 1:52,18510831.25
08/10/2020 2:13,18510850
08/10/2020 2:25,18510868.75
08/10/2020 3:01,18510887.5
08/10/2020 3:25,18510906.25
08/10/2020 3:38,18510925
08/10/2020 4:20,18510943.75
08/10/2020 4:43,18510962.5
08/10/2020 5:49,18510981.25
08/10/2020 6:36,18511000
08/10/2020 6:44,18511018.75
08/10/2020 7:05,18511037.5
08/10/2020 7:31,18511056.25
08/10/2020 8:00,18511075
08/10/2020 8:06,18511093.75
08/10/2020 8:18,18511112.5
08/10/2020 8:50,18511131.25
08/10/2020 8:57,18511150
08/10/2020 9:28,18511168.75
08/10/2020 9:44,18511187.5
08/10/2020 9:59,18511206.25
08/10/2020 10:07,18511225
08/10/2020 10:27,18511243.75
08/10/2020 11:10,18511268.75
08/10/2020 11:24,18511287.5
08/10/2020 11:56,18511306.25
08/10/2020 12:19,18511325
08/10/2020 12:47,18511343.75
08/10/2020 13:03,18511362.5
08/10/2020 13:05,18511381.25
08/10/2020 13:59,18511400
08/10/2020 14:42,18511418.75
08/10/2020 15:06,18511437.5
08/10/2020 15:44,18511456.25
08/10/2020 16:19,18511475
08/10/2020 16:31,18511493.75
08/10/2020 17:38,18511512.5
08/10/2020 18:18,18511531.25
08/10/2020 18:53,18511550
08/10/2020 19:09,18511568.75
08/10/2020 20:09,18511587.5
08/10/2020 20:27,18511606.25
08/10/2020 21:01,18511625
